,NoPreprocessing Identity,Residuals Identity,NoPreprocessing Corr-50,Residuals Corr-50,NoPreprocessing LGMRF,NoPreprocessing LGMRF uniform-weighting,Residuals LGMRF,Residuals LGMRF uniform-weighting,NoPreprocessing LTMRF,NoPreprocessing LTMRF uniform-weighting,Residuals LTMRF,Residuals LTMRF uniform-weighting,NoPreprocessing Pairs-5,Residuals Pairs-5,NoPreprocessing Pairs-20,Residuals Pairs-20
200002,0.21849019611261358,-0.06156930663515359,0.21394389296967747,-0.0715940607048366,0.21939655745982864,0.1563956202364286,-0.07123050776592757,-0.057289945556855,0.1321034506183033,0.16646603314270547,-0.07014807989822461,-0.05896934430701091,0.04117117270167614,0.0,0.09516957896675929,-0.019280359907809186
200003,-0.028093541508106324,0.05897658885447265,-0.014448092356366187,0.06340588807312701,0.02080493134060853,-0.008767697129515561,0.05907713256009398,0.06813698032945104,0.01114250844079049,0.028299402786492508,0.06260040673582543,0.0665682347581417,0.0,0.0,0.05355605774130891,0.2020624306312061
200004,0.012770772122571836,0.09191174145891579,0.05824499062198552,0.08595104115372976,0.03518491071375453,0.03179273873718594,0.09702970918799973,0.10963783814312911,0.038408842765429475,0.024590334569100356,0.05503037290751231,0.09039373025074657,-0.11988144289287539,0.03446230772905656,-0.0020946542666232565,0.05431364655414084
200005,0.0973266458270389,0.05020595180996044,0.0338188492033359,0.02296728192097387,0.04091507036522585,0.06393527757626483,0.014074427219912793,0.023195319289606244,0.02138503422806689,0.021479873197267782,-0.014304209054978359,-0.025045272626628607,0.09080477397655984,0.1344271231423969,0.08733339683843333,-0.012088958330107178
200006,0.0745340393595443,0.015397583146011386,0.0811896730709227,0.020720589894012337,0.08591610504214585,0.08356601805327121,0.04941978601342139,0.04697193840294267,0.07510410350625467,0.09697446474397464,0.04971135557546952,0.04572559770779635,-0.05214218135411608,0.013359891699192605,0.0025512845665131567,-0.011572919200339652
200007,0.033608215148090696,0.017614740770636718,0.02875834237899172,0.043287857777085645,0.03544919764563193,0.03135870137330987,0.023323622468609553,0.020327263879960734,0.0040286753195191375,0.04380226165450916,0.01586817411352271,0.029909779278308974,0.0,0.0,-0.06394449468703539,0.07853186842528181
200008,-0.02759809666136251,-0.035876788934248255,0.007820958584908859,-0.022664414901455283,0.011204677991104283,0.01844984774223023,-0.0272152782082732,-0.03151859151112639,-0.007488338471991887,0.011066377775651615,-0.009902180702131424,-0.012871839544476533,0.0,0.014698811232270272,0.014206734469395941,0.10796465132978816
200009,0.014110239135002657,0.018543692336419944,0.03536812837960112,0.017769683069558992,0.06174121352180656,0.06032691542598299,0.0392669410887154,0.040037789788689854,0.09551310669436944,0.0880928073434,0.05401744518497003,0.040377741455835794,0.0,-0.10268167094165226,-0.00021019480215878072,0.009726619510558192
200010,-0.03571634487311078,0.029345698895020707,-0.032674317580300434,0.019992432272516472,-0.048602900479657596,-0.03694814515953177,0.013674058442123042,0.020307287015507998,-0.031055779660263735,-0.022319766699925497,0.05853345959154938,0.041105188824617014,0.089134754488294,0.007163902256458028,-0.0069399835697115005,0.02872857774671108
200011,0.02329472596752214,0.07454097271186194,0.0293671420683132,0.08327688745332439,0.03108425035682135,0.02447393707057538,0.09993384206694671,0.0862689326687358,0.043882532876732314,0.04321770684800513,0.10335127956390015,0.0780898856198919,0.0,0.0,0.02262700326737714,0.036705702075648716
200012,0.1458253161846761,0.055454762725083734,0.14401630826318,0.05714984161881935,0.11740686456889285,0.12645928387517547,0.0695475909856138,0.06096343473346249,0.12090132751478347,0.0884768437263305,0.046307140697216524,0.06735205009232616,-0.02499000862675288,-0.010426659997413934,-0.0247777058721778,-0.020070765267230277
200101,0.1543340606594851,0.08458803836780354,0.09046973449181295,0.02851512008740671,0.07841492402168761,0.0756916822192,0.0353212129266225,0.057492549048258186,0.02487105275976453,0.0704440424017529,0.008206890530016057,0.022015184778579888,-0.05534788738348284,0.0076658799552074,0.020502756208285455,-0.022665373936060874
200102,-0.055981630357217774,0.06187774434194098,-0.03046738432303918,0.05807861600876263,-0.016543165794501227,-0.0311798559192452,0.05646956334590044,0.05513291144424265,-0.0350364185623831,-0.034092339516853205,0.05342744000398146,0.052458375237913565,-0.019216752299147766,0.08492931748090982,0.08061956888389243,-0.10317120957945036
200103,0.06735762059533909,-0.03285557598236149,0.06475537450418471,0.014439586733355053,0.07672967653458823,0.07227926161992669,0.022277348838898613,0.007650951158293607,0.101157674503439,0.07752740217361896,0.020958920519346187,0.024010421876894915,0.0,-0.04959994878692431,0.017952797842289557,-0.025689669849290664
200104,0.06059658772193812,0.031186384961277472,0.07114849945681201,0.04540571170232463,0.0666386415736615,0.0612632972770223,0.037972257113763765,0.05458796698725243,0.05647917456546882,0.026509571420154334,0.056262788059239774,0.04352669778567927,0.0,-0.05008208199804831,0.018509026888615443,-0.021236232254264742
200105,0.04551157785853666,0.044647243787333944,0.0342646655566567,0.04969646538054133,0.05501731202713356,0.04629112285533718,0.0408669252771723,0.05253460479777235,0.055009886715856916,0.05558254355091273,0.03868827737422011,0.025317150460118915,0.07409278247884166,-0.01475654281047234,0.10328688994420325,0.053828158800672044
